"season","tm","g","w","l","t","wp","w_ats","l_ats","t_ats","wp_ats"
1978,"ATL",16,9,7,0,56.2,6,8,2,37.5
1978,"BAL",16,5,11,0,31.2,6,10,0,37.5
1978,"BUF",16,5,11,0,31.2,12,4,0,75
1978,"CHI",16,7,9,0,43.8,9,7,0,56.2
1978,"CIN",16,4,12,0,25,8,8,0,50
1978,"CLE",16,8,8,0,50,7,8,1,43.8
1978,"DAL",16,12,4,0,75,8,8,0,50
1978,"DEN",16,10,6,0,62.5,8,7,1,50
1978,"DET",16,7,9,0,43.8,8,8,0,50
1978,"GB",16,8,7,1,50,8,8,0,50
1978,"HOU",16,10,6,0,62.5,6,9,1,37.5
1978,"KC",16,4,12,0,25,8,8,0,50
1978,"MIA",16,11,5,0,68.8,9,7,0,56.2
1978,"MIN",16,8,7,1,50,6,10,0,37.5
1978,"NE",16,11,5,0,68.8,6,10,0,37.5
1978,"NO",16,7,9,0,43.8,10,6,0,62.5
1978,"NYG",16,6,10,0,37.5,8,7,1,50
1978,"NYJ",16,8,8,0,50,9,7,0,56.2
1978,"OAK",16,9,7,0,56.2,6,10,0,37.5
1978,"PHI",16,9,7,0,56.2,10,5,1,62.5
1978,"PIT",16,14,2,0,87.5,9,6,1,56.2
1978,"RAM",16,12,4,0,75,5,9,2,31.2
1978,"SD",16,9,7,0,56.2,9,7,0,56.2
1978,"SEA",16,9,7,0,56.2,10,5,1,62.5
1978,"SF",16,2,14,0,12.5,3,12,1,18.8
1978,"STL",16,6,10,0,37.5,8,8,0,50
1978,"TB",16,5,11,0,31.2,9,7,0,56.2
1978,"WAS",16,8,8,0,50,7,9,0,43.8
1979,"ATL",16,6,10,0,37.5,7,8,1,43.8
1979,"BAL",16,5,11,0,31.2,7,8,1,43.8
1979,"BUF",16,7,9,0,43.8,7,7,2,43.8
1979,"CHI",16,10,6,0,62.5,8,7,1,50
1979,"CIN",16,4,12,0,25,6,8,2,37.5
1979,"CLE",16,9,7,0,56.2,8,8,0,50
1979,"DAL",16,11,5,0,68.8,5,11,0,31.2
1979,"DEN",16,10,6,0,62.5,8,7,1,50
1979,"DET",16,2,14,0,12.5,4,11,1,25
1979,"GB",16,5,11,0,31.2,6,8,2,37.5
1979,"HOU",16,11,5,0,68.8,8,7,1,50
1979,"KC",16,7,9,0,43.8,7,7,2,43.8
1979,"MIA",16,10,6,0,62.5,8,7,1,50
1979,"MIN",16,7,9,0,43.8,8,8,0,50
1979,"NE",16,9,7,0,56.2,6,9,1,37.5
1979,"NO",16,8,8,0,50,8,8,0,50
1979,"NYG",16,6,10,0,37.5,9,7,0,56.2
1979,"NYJ",16,8,8,0,50,9,7,0,56.2
1979,"OAK",16,9,7,0,56.2,9,7,0,56.2
1979,"PHI",16,11,5,0,68.8,8,7,1,50
1979,"PIT",16,12,4,0,75,9,7,0,56.2
1979,"RAM",16,9,7,0,56.2,5,10,1,31.2
1979,"SD",16,12,4,0,75,8,6,2,50
1979,"SEA",16,9,7,0,56.2,10,5,1,62.5
1979,"SF",16,2,14,0,12.5,7,8,1,43.8
1979,"STL",16,5,11,0,31.2,8,7,1,50
1979,"TB",16,10,6,0,62.5,8,7,1,50
1979,"WAS",16,10,6,0,62.5,11,5,0,68.8
1980,"ATL",16,12,4,0,75,12,3,1,75
1980,"BAL",16,7,9,0,43.8,8,8,0,50
1980,"BUF",16,11,5,0,68.8,10,6,0,62.5
1980,"CHI",16,7,9,0,43.8,7,8,1,43.8
1980,"CIN",16,6,10,0,37.5,7,7,2,43.8
1980,"CLE",16,11,5,0,68.8,9,6,1,56.2
1980,"DAL",16,12,4,0,75,10,6,0,62.5
1980,"DEN",16,8,8,0,50,6,8,2,37.5
1980,"DET",16,9,7,0,56.2,9,5,2,56.2
1980,"GB",16,5,10,1,31.2,8,8,0,50
1980,"HOU",16,11,5,0,68.8,6,8,2,37.5
1980,"KC",16,8,8,0,50,8,7,1,50
1980,"MIA",16,8,8,0,50,7,9,0,43.8
