"season","week","total","total_result","tm_home","tm_away","line_home","pts_home","pts_away","tm_winner_straight","tm_winner_spread"
1978,1,NA,NA,"TB","NYG",-2,13,19,"NYG","NYG"
1978,1,NA,NA,"ATL","HOU",3.5,20,14,"ATL","ATL"
1978,1,NA,NA,"BUF","PIT",10.5,17,28,"PIT","PIT"
1978,1,NA,NA,"CHI","STL",-3.5,17,10,"CHI","CHI"
1978,1,NA,NA,"DEN","OAK",4,14,6,"DEN","DEN"
1978,1,NA,NA,"DET","GB",-8,7,13,"GB","GB"
1978,1,NA,NA,"CIN","KC",-8,23,24,"KC","KC"
1978,1,NA,NA,"NO","MIN",6.5,31,24,"NO","NO"
1978,1,NA,NA,"NYJ","MIA",4,33,20,"NYJ","NYJ"
1978,1,NA,NA,"PHI","RAM",6,14,16,"RAM","PHI"
1978,1,NA,NA,"SEA","SD",6,20,24,"SD","SEA"
1978,1,NA,NA,"CLE","SF",-4.5,24,7,"CLE","CLE"
1978,1,NA,NA,"NE","WAS",-9.5,14,16,"WAS","WAS"
1978,1,NA,NA,"DAL","BAL",-10.5,38,0,"DAL","DAL"
1978,2,NA,NA,"TB","DET",1,7,15,"DET","DET"
1978,2,NA,NA,"RAM","ATL",-10,10,0,"RAM","na"
1978,2,NA,NA,"BUF","NYJ",5,20,21,"NYJ","BUF"
1978,2,NA,NA,"CLE","CIN",-5.5,13,10,"CLE","CIN"
1978,2,NA,NA,"BAL","MIA",3,0,42,"MIA","MIA"
1978,2,NA,NA,"STL","NE",6.5,6,16,"NE","NE"
1978,2,NA,NA,"GB","NO",1.5,28,17,"GB","GB"
1978,2,NA,NA,"KC","HOU",4.5,17,20,"HOU","KC"
1978,2,NA,NA,"NYG","DAL",11,24,34,"DAL","NYG"
1978,2,NA,NA,"WAS","PHI",-3.5,35,30,"WAS","WAS"
1978,2,NA,NA,"SD","OAK",5.5,20,21,"OAK","SD"
1978,2,NA,NA,"PIT","SEA",-13.5,21,10,"PIT","SEA"
1978,2,NA,NA,"SF","CHI",2.5,13,16,"CHI","CHI"
1978,2,NA,NA,"MIN","DEN",0,12,9,"MIN","MIN"
1978,3,NA,NA,"ATL","CLE",0,16,24,"CLE","CLE"
1978,3,NA,NA,"MIA","BUF",-12,31,24,"MIA","BUF"
1978,3,NA,NA,"CIN","PIT",4.5,3,28,"PIT","PIT"
1978,3,NA,NA,"STL","WAS",3.5,10,28,"WAS","WAS"
1978,3,NA,NA,"DET","CHI",2.5,0,19,"CHI","CHI"
1978,3,NA,NA,"GB","OAK",9.5,3,28,"OAK","OAK"
1978,3,NA,NA,"NYG","KC",-4.5,26,10,"NYG","NYG"
1978,3,NA,NA,"NO","PHI",0,17,24,"PHI","PHI"
1978,3,NA,NA,"RAM","DAL",4,27,14,"RAM","RAM"
1978,3,NA,NA,"DEN","SD",-4.5,27,14,"DEN","DEN"
1978,3,NA,NA,"NYJ","SEA",-7,17,24,"SEA","SEA"
1978,3,NA,NA,"HOU","SF",-9.5,20,19,"HOU","SF"
1978,3,NA,NA,"MIN","TB",-10,10,16,"TB","TB"
1978,3,NA,NA,"NE","BAL",-17.5,27,34,"BAL","BAL"
1978,4,NA,NA,"PIT","CLE",-4.5,15,9,"PIT","PIT"
1978,4,NA,NA,"BUF","BAL",-2.5,24,17,"BUF","BUF"
1978,4,NA,NA,"DAL","STL",-17,21,12,"DAL","STL"
1978,4,NA,NA,"SEA","DET",-6,28,16,"SEA","SEA"
1978,4,NA,NA,"SD","GB",-10,3,24,"GB","GB"
1978,4,NA,NA,"KC","DEN",7,17,23,"DEN","KC"
1978,4,NA,NA,"CIN","NO",-7,18,20,"NO","NO"
1978,4,NA,NA,"OAK","NE",-6.5,14,21,"NE","NE"
1978,4,NA,NA,"WAS","NYJ",-6.5,23,3,"WAS","WAS"
1978,4,NA,NA,"HOU","RAM",2.5,6,10,"RAM","RAM"
1978,4,NA,NA,"PHI","MIA",2.5,17,3,"PHI","PHI"
1978,4,NA,NA,"NYG","SF",-4.5,27,10,"NYG","NYG"
1978,4,NA,NA,"TB","ATL",2.5,14,9,"TB","TB"
1978,4,NA,NA,"CHI","MIN",-3,20,24,"MIN","MIN"
1978,5,NA,NA,"ATL","NYG",3,23,20,"ATL","ATL"
1978,5,NA,NA,"CHI","OAK",6.5,19,25,"OAK","CHI"
1978,5,NA,NA,"BAL","PHI",5.5,14,17,"PHI","BAL"
1978,5,NA,NA,"MIA","STL",-9,24,10,"MIA","MIA"
1978,5,NA,NA,"GB","DET",-5,35,14,"GB","GB"
1978,5,NA,NA,"BUF","KC",-3,28,13,"BUF","BUF"
1978,5,NA,NA,"NO","RAM",9.5,20,26,"RAM","NO"
1978,5,NA,NA,"NYJ","PIT",12.5,17,28,"PIT","NYJ"
1978,5,NA,NA,"CLE","HOU",-5,13,16,"HOU","HOU"
1978,5,NA,NA,"NE","SD",-7.5,28,23,"NE","SD"
1978,5,NA,NA,"DEN","SEA",-9,28,7,"DEN","DEN"
1978,5,NA,NA,"SF","CIN",2.5,28,12,"SF","SF"
1978,5,NA,NA,"TB","MIN",6,7,24,"MIN","MIN"
1978,5,NA,NA,"WAS","DAL",4.5,9,5,"WAS","WAS"
1978,6,NA,NA,"PIT","ATL",-9,31,7,"PIT","PIT"
1978,6,NA,NA,"STL","BAL",-2.5,17,30,"BAL","BAL"
1978,6,NA,NA,"DET","WAS",9,19,21,"WAS","DET"
1978,6,NA,NA,"GB","CHI",1.5,24,14,"GB","GB"
1978,6,NA,NA,"NO","CLE",3.5,16,24,"CLE","CLE"
1978,6,NA,NA,"DAL","NYG",-11,24,3,"DAL","DAL"
1978,6,NA,NA,"NYJ","BUF",2.5,45,14,"NYJ","NYJ"
1978,6,NA,NA,"OAK","HOU",-7.5,21,17,"OAK","HOU"
1978,6,NA,NA,"NE","PHI",-7,24,14,"NE","NE"
1978,6,NA,NA,"SD","DEN",1,23,0,"SD","SD"
1978,6,NA,NA,"SEA","MIN",5,29,28,"SEA","SEA"
1978,6,NA,NA,"RAM","SF",-13.5,27,10,"RAM","RAM"
1978,6,NA,NA,"KC","TB",-4.5,13,30,"TB","TB"
1978,6,NA,NA,"MIA","CIN",-10.5,21,0,"MIA","MIA"
1978,7,NA,NA,"HOU","BUF",-8.5,17,10,"HOU","BUF"
1978,7,NA,NA,"CIN","NE",9,3,10,"NE","CIN"
1978,7,NA,NA,"CLE","PIT",4,14,34,"PIT","PIT"
1978,7,NA,NA,"STL","DAL",13.5,21,24,"DAL","STL"
1978,7,NA,NA,"ATL","DET",-6,14,0,"ATL","ATL"
1978,7,NA,NA,"OAK","KC",-13.5,28,6,"OAK","OAK"
1978,7,NA,NA,"SD","MIA",-4,21,28,"MIA","MIA"
1978,7,NA,NA,"MIN","RAM",4,17,34,"RAM","RAM"
1978,7,NA,NA,"SF","NO",-4,7,14,"NO","NO"
1978,7,NA,NA,"BAL","NYJ",-6.5,10,33,"NYJ","NYJ"
1978,7,NA,NA,"PHI","WAS",1.5,17,10,"PHI","PHI"
1978,7,NA,NA,"GB","SEA",-4.5,45,28,"GB","GB"
1978,7,NA,NA,"NYG","TB",-4.5,17,14,"NYG","TB"
1978,7,NA,NA,"DEN","CHI",-7,16,7,"DEN","DEN"
1978,8,NA,NA,"BUF","CIN",-3.5,5,0,"BUF","BUF"
1978,8,NA,NA,"BAL","DEN",6.5,7,6,"BAL","BAL"
1978,8,NA,NA,"NYJ","STL",-8,23,10,"NYJ","NYJ"
1978,8,NA,NA,"DET","SD",6.5,31,14,"DET","DET"
1978,8,NA,NA,"MIN","GB",-3.5,21,7,"MIN","MIN"
1978,8,NA,NA,"KC","CLE",5.5,17,3,"KC","KC"
1978,8,NA,NA,"NE","MIA",-4.5,33,24,"NE","NE"
1978,8,NA,NA,"RAM","NO",-13.5,3,10,"NO","NO"
1978,8,NA,NA,"NYG","WAS",4,17,6,"NYG","NYG"
1978,8,NA,NA,"DAL","PHI",-8,14,7,"DAL","PHI"
1978,8,NA,NA,"SEA","OAK",7,27,7,"SEA","SEA"
1978,8,NA,NA,"SF","ATL",3,17,20,"ATL","na"
1978,8,NA,NA,"TB","CHI",3,33,19,"TB","TB"
1978,8,NA,NA,"PIT","HOU",-7.5,17,24,"HOU","HOU"
1978,9,NA,NA,"DAL","MIN",-7.5,10,21,"MIN","MIN"
1978,9,NA,NA,"CLE","BUF",-6,41,20,"CLE","CLE"
1978,9,NA,NA,"CIN","HOU",7,28,13,"CIN","CIN"
1978,9,NA,NA,"MIA","BAL",-12.5,26,8,"MIA","MIA"
1978,9,NA,NA,"PHI","STL",-11,10,16,"STL","STL"
1978,9,NA,NA,"CHI","DET",-5,17,21,"DET","DET"
1978,9,NA,NA,"PIT","KC",-14,27,24,"PIT","KC"
1978,9,NA,NA,"NO","NYG",-2,28,17,"NO","NO"
1978,9,NA,NA,"NE","NYJ",-9,55,21,"NE","NE"
1978,9,NA,NA,"OAK","SD",-6.5,23,27,"SD","SD"
1978,9,NA,NA,"SEA","DEN",3,17,20,"DEN","na"
1978,9,NA,NA,"WAS","SF",-10,38,20,"WAS","WAS"
1978,9,NA,NA,"GB","TB",-5,9,7,"GB","TB"
1978,9,NA,NA,"ATL","RAM",6.5,15,7,"ATL","ATL"
1978,10,NA,NA,"BUF","NE",9,10,14,"NE","BUF"
1978,10,NA,NA,"SD","CIN",-7,22,13,"SD","SD"
1978,10,NA,NA,"HOU","CLE",-4,14,10,"HOU","na"
1978,10,NA,NA,"MIA","DAL",-1,23,16,"MIA","MIA"
1978,10,NA,NA,"MIN","DET",-7,17,7,"MIN","MIN"
1978,10,NA,NA,"PHI","GB",-3.5,10,3,"PHI","PHI"
1978,10,NA,NA,"KC","OAK",6.5,10,20,"OAK","OAK"
1978,10,NA,NA,"PIT","NO",-10.5,20,14,"PIT","NO"
1978,10,NA,NA,"STL","NYG",-3,20,10,"STL","STL"
1978,10,NA,NA,"DEN","NYJ",-9,28,31,"NYJ","NYJ"
1978,10,NA,NA,"CHI","SEA",-3,29,31,"SEA","SEA"
1978,10,NA,NA,"ATL","SF",-7,21,10,"ATL","ATL"
1978,10,NA,NA,"RAM","TB",-10.5,26,23,"RAM","TB"
1978,10,NA,NA,"BAL","WAS",3.5,21,17,"BAL","BAL"
