"season","week","tm_home","tm_away","line_home","pts_home","pts_away","tm_winner_straight","tm_winner_spread","line_1","line_2","tm_1","tm_2","pts_1","pts_2","pd_1","pd_2","wp_eoy_1","pftd_1","patd_1","pdtd_1","wptd_1","w_lastn_1","pd_lastn_1","pd_wlastn_1","wp_lastn_1","wp_wlastn_1","wp_eoy_2","pftd_2","patd_2","pdtd_2","wptd_2","w_lastn_2","pd_lastn_2","pd_wlastn_2","wp_lastn_2","wp_wlastn_2","wp_eoy_diff","pftd_diff","patd_diff","pdtd_diff","wptd_diff","wp_lastn_diff","wp_wlastn_diff","pd_lastn_diff","pd_wlastn_diff"
2000,1,"NYG","ARI",-6.5,21,16,"NYG","ARI",6.5,-6.5,"ARI","NYG",16,21,-5,5,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.9,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"ATL","SFO",-6.5,36,28,"ATL","ATL",-6.5,6.5,"ATL","SFO",36,28,8,-8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.5,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"PIT","BAL",2.5,0,16,"BAL","BAL",-2.5,2.5,"BAL","PIT",16,0,16,-16,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"BUF","TEN",-1,16,13,"BUF","BUF",-1,1,"BUF","TEN",16,13,3,-3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.5,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"WAS","CAR",-10.5,20,17,"WAS","CAR",10.5,-10.5,"CAR","WAS",17,20,-3,3,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.2,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"MIN","CHI",-4.5,30,27,"MIN","CHI",4.5,-4.5,"CHI","MIN",27,30,-3,3,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35.5,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"CLE","JAX",10.5,7,27,"JAX","JAX",10.5,-10.5,"CLE","JAX",7,27,-20,20,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"DAL","PHI",-6,14,41,"PHI","PHI",-6,6,"DAL","PHI",14,41,-27,27,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35.5,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"STL","DEN",-6.5,41,36,"STL","DEN",6.5,-6.5,"DEN","STL",36,41,-5,5,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.90000000000001,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"NOR","DET",0,10,14,"DET","DET",0,0,"DET","NOR",14,10,4,-4,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.9,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"GNB","NYJ",-2.5,16,20,"NYJ","NYJ",-2.5,2.5,"GNB","NYJ",16,20,-4,4,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"KAN","IND",3.5,14,27,"IND","IND",-3.5,3.5,"IND","KAN",27,14,13,-13,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
