"season","week","tm","result","pts","to","tm_home","tm_away","pts_home","pts_away"
2000,1,"ARI","L",16,4,"NYG","ARI",21,16
2000,1,"ATL","W",36,1,"ATL","SFO",36,28
2000,1,"BAL","W",16,NA,"PIT","BAL",0,16
2000,1,"BUF","W",16,NA,"BUF","TEN",16,13
2000,1,"CAR","L",17,1,"WAS","CAR",20,17
2000,1,"CHI","L",27,1,"MIN","CHI",30,27
2000,1,"CLE","L",7,1,"CLE","JAX",7,27
2000,1,"DAL","L",14,2,"DAL","PHI",14,41
2000,1,"DEN","L",36,NA,"STL","DEN",41,36
2000,1,"DET","W",14,2,"NOR","DET",10,14
2000,1,"GNB","L",16,2,"GNB","NYJ",16,20
2000,1,"IND","W",27,2,"KAN","IND",14,27
2000,1,"JAX","W",27,NA,"CLE","JAX",7,27
2000,1,"KAN","L",14,1,"KAN","IND",14,27
2000,1,"MIA","W",23,1,"MIA","SEA",23,0
2000,1,"MIN","W",30,1,"MIN","CHI",30,27
2000,1,"NOR","L",10,3,"NOR","DET",10,14
2000,1,"NWE","L",16,1,"NWE","TAM",16,21
2000,1,"NYG","W",21,2,"NYG","ARI",21,16
2000,1,"NYJ","W",20,1,"GNB","NYJ",16,20
2000,1,"OAK","W",9,NA,"OAK","SDG",9,6
2000,1,"PHI","W",41,3,"DAL","PHI",14,41
2000,1,"PIT","L",0,1,"PIT","BAL",0,16
2000,1,"SDG","L",6,4,"OAK","SDG",9,6
2000,1,"SEA","L",0,6,"MIA","SEA",23,0
2000,1,"SFO","L",28,1,"ATL","SFO",36,28
2000,1,"STL","W",41,3,"STL","DEN",41,36
2000,1,"TAM","W",21,1,"NWE","TAM",16,21
2000,1,"TEN","L",13,1,"BUF","TEN",16,13
2000,1,"WAS","W",20,NA,"WAS","CAR",20,17
2000,2,"ARI","W",32,1,"ARI","DAL",32,31
2000,2,"ATL","L",14,3,"DEN","ATL",42,14
2000,2,"BAL","W",39,2,"BAL","JAX",39,36
2000,2,"BUF","W",27,1,"BUF","GNB",27,18
2000,2,"CAR","W",38,1,"SFO","CAR",22,38
2000,2,"CHI","L",0,4,"TAM","CHI",41,0
2000,2,"CIN","L",7,3,"CIN","CLE",7,24
2000,2,"CLE","W",24,1,"CIN","CLE",7,24
2000,2,"DAL","L",31,2,"ARI","DAL",32,31
2000,2,"DEN","W",42,NA,"DEN","ATL",42,14
2000,2,"DET","W",15,2,"DET","WAS",15,10
2000,2,"GNB","L",18,3,"BUF","GNB",27,18
2000,2,"IND","L",31,3,"IND","OAK",31,38
2000,2,"JAX","L",36,4,"BAL","JAX",39,36
2000,2,"KAN","L",14,NA,"TEN","KAN",17,14
2000,2,"MIA","L",7,1,"MIN","MIA",13,7
2000,2,"MIN","W",13,4,"MIN","MIA",13,7
2000,2,"NOR","W",28,3,"SDG","NOR",27,28
