rk,tm,year,date,time,ltime,,opp,week,g,day,result,ot,spread,vs_line,over_under,ou_result
1,NYG,1978,9/2/1978,8:00,8:00,@,TAM,1,1,Sat,W 19-13,,2,covered,0,over
2,ATL,1978,9/3/1978,1:00,1:00,,HOU,1,1,Sun,W 20-14,,3.5,covered,0,over
3,BUF,1978,9/3/1978,1:00,1:00,,PIT,1,1,Sun,L 17-28,,10.5,not covered,0,over
4,STL,1978,9/3/1978,2:00,1:00,@,CHI,1,1,Sun,L 10-17,,3.5,not covered,0,over
5,DEN,1978,9/3/1978,4:00,2:00,,OAK,1,1,Sun,W 14-6,,4,covered,0,over
6,GNB,1978,9/3/1978,1:00,1:00,@,DET,1,1,Sun,W 13-7,,8,covered,0,over
7,KAN,1978,9/3/1978,1:00,1:00,@,CIN,1,1,Sun,W 24-23,,8,covered,0,over
8,NOR,1978,9/3/1978,1:00,12:00,,MIN,1,1,Sun,W 31-24,,6.5,covered,0,over
9,NYJ,1978,9/3/1978,1:00,1:00,,MIA,1,1,Sun,W 33-20,,4,covered,0,over
10,PHI,1978,9/3/1978,1:00,1:00,,RAM,1,1,Sun,L 14-16,,6,covered,0,over
11,SEA,1978,9/3/1978,4:00,1:00,,SDG,1,1,Sun,L 20-24,,6,covered,0,over
12,SFO,1978,9/3/1978,1:00,1:00,@,CLE,1,1,Sun,L 7-24,,4.5,not covered,0,over
13,WAS,1978,9/3/1978,1:00,1:00,@,NWE,1,1,Sun,W 16-14,,9.5,covered,0,over
14,BAL,1978,9/4/1978,9:00,8:00,@,DAL,1,1,Mon,L 0-38,,10.5,not covered,0,over
15,TAM,1978,9/9/1978,8:00,8:00,,DET,2,2,Sat,L 7-15,,1,not covered,0,over
16,ATL,1978,9/10/1978,4:00,1:00,@,RAM,2,2,Sun,L 0-10,,10,push,0,over
17,BUF,1978,9/10/1978,4:00,4:00,,NYJ,2,2,Sun,L 20-21,,5,covered,0,over
18,CIN,1978,9/10/1978,2:00,2:00,@,CLE,2,2,Sun,L 10-13,OT,5.5,covered,0,over
19,BAL,1978,9/10/1978,4:00,4:00,,MIA,2,2,Sun,L 0-42,,3,not covered,0,over
20,STL,1978,9/10/1978,2:00,1:00,,NWE,2,2,Sun,L 6-16,,6.5,not covered,0,over
21,GNB,1978,9/10/1978,1:00,12:00,,NOR,2,2,Sun,W 28-17,,1.5,covered,0,over
22,KAN,1978,9/10/1978,2:00,1:00,,HOU,2,2,Sun,L 17-20,,4.5,covered,0,over
23,NYG,1978,9/10/1978,1:00,1:00,,DAL,2,2,Sun,L 24-34,,11,covered,0,over
24,PHI,1978,9/10/1978,1:00,1:00,@,WAS,2,2,Sun,L 30-35,,3.5,not covered,0,over
25,SDG,1978,9/10/1978,4:00,1:00,,OAK,2,2,Sun,L 20-21,,5.5,covered,0,over
26,SEA,1978,9/10/1978,1:00,1:00,@,PIT,2,2,Sun,L 10-21,,13.5,covered,0,over
27,SFO,1978,9/10/1978,4:00,1:00,,CHI,2,2,Sun,L 13-16,,2.5,not covered,0,over
28,DEN,1978,9/11/1978,9:00,8:00,@,MIN,2,2,Mon,L 9-12,OT,0,not covered,0,over
29,MIN,1978,9/11/1978,9:00,8:00,,DEN,2,2,Mon,W 12-9,OT,0,covered,0,over
30,ATL,1978,9/17/1978,1:00,1:00,,CLE,3,3,Sun,L 16-24,,0,not covered,0,over
31,BUF,1978,9/17/1978,4:00,4:00,@,MIA,3,3,Sun,L 24-31,,12,covered,0,over
32,CIN,1978,9/17/1978,1:00,1:00,,PIT,3,3,Sun,L 3-28,,4.5,not covered,0,over
33,CLE,1978,9/17/1978,1:00,1:00,@,ATL,3,3,Sun,W 24-16,,0,covered,0,over
34,STL,1978,9/17/1978,2:00,1:00,,WAS,3,3,Sun,L 10-28,,3.5,not covered,0,over
35,DET,1978,9/17/1978,1:00,1:00,,CHI,3,3,Sun,L 0-19,,2.5,not covered,0,over
36,GNB,1978,9/17/1978,2:00,1:00,,OAK,3,3,Sun,L 3-28,,9.5,not covered,0,over
37,KAN,1978,9/17/1978,1:00,1:00,@,NYG,3,3,Sun,L 10-26,,4.5,not covered,0,over
38,NOR,1978,9/17/1978,2:00,1:00,,PHI,3,3,Sun,L 17-24,,0,not covered,0,over
39,PHI,1978,9/17/1978,2:00,1:00,@,NOR,3,3,Sun,W 24-17,,0,covered,0,over
40,RAM,1978,9/17/1978,4:00,1:00,,DAL,3,3,Sun,W 27-14,,4,covered,0,over
41,SDG,1978,9/17/1978,4:00,2:00,@,DEN,3,3,Sun,L 14-27,,4.5,not covered,0,over
42,SEA,1978,9/17/1978,1:00,1:00,@,NYJ,3,3,Sun,W 24-17,,7,covered,0,over
43,SFO,1978,9/17/1978,2:00,1:00,@,HOU,3,3,Sun,L 19-20,,9.5,covered,0,over
44,TAM,1978,9/17/1978,2:00,1:00,@,MIN,3,3,Sun,W 16-10,,10,covered,0,over
45,BAL,1978,9/18/1978,9:00,9:00,@,NWE,3,3,Mon,W 34-27,,17.5,covered,0,over
46,CLE,1978,9/24/1978,1:00,1:00,@,PIT,4,4,Sun,L 9-15,OT,4.5,not covered,0,over
47,BAL,1978,9/24/1978,1:00,1:00,@,BUF,4,4,Sun,L 17-24,,2.5,not covered,0,over
48,STL,1978,9/24/1978,4:00,3:00,@,DAL,4,4,Sun,L 12-21,,17,covered,0,over
49,DET,1978,9/24/1978,4:00,1:00,@,SEA,4,4,Sun,L 16-28,,6,not covered,0,over
50,GNB,1978,9/24/1978,4:00,1:00,@,SDG,4,4,Sun,W 24-3,,10,covered,0,over
51,KAN,1978,9/24/1978,2:00,1:00,,DEN,4,4,Sun,L 17-23,OT,7,covered,0,over
52,NOR,1978,9/24/1978,1:00,1:00,@,CIN,4,4,Sun,W 20-18,,7,covered,0,over
53,NWE,1978,9/24/1978,9:00,6:00,@,OAK,4,4,Sun,W 21-14,,6.5,covered,0,over
54,NYJ,1978,9/24/1978,1:00,1:00,@,WAS,4,4,Sun,L 3-23,,6.5,not covered,0,over
55,HOU,1978,9/24/1978,1:00,12:00,,RAM,4,4,Sun,L 6-10,,2.5,not covered,0,over
56,PHI,1978,9/24/1978,1:00,1:00,,MIA,4,4,Sun,W 17-3,,2.5,covered,0,over
57,SFO,1978,9/24/1978,4:00,4:00,@,NYG,4,4,Sun,L 10-27,,4.5,not covered,0,over
58,TAM,1978,9/24/1978,4:00,4:00,,ATL,4,4,Sun,W 14-9,,2.5,covered,0,over
59,MIN,1978,9/25/1978,9:00,8:00,@,CHI,4,4,Mon,W 24-20,,3,covered,0,over
