"rk","tm","year","date","time","ltime","","opp","week","g","day","result","ot","tot","ply","ypp","dply","dypp","to","top","time"
"1","ATL","2000","2000-09-03","1:02","1:02","","SFO","1","1","Sun","W 36-28","","359","63","5.6984","61","5.5574","1","31:39","3:13"
"2","BUF","2000","2000-09-03","8:35","8:35","","TEN","1","1","Sun","W 16-13","","266","66","4.0303","55","3.1273","","33:11","3:15"
"3","CAR","2000","2000-09-03","1:01","1:01","@","WAS","1","1","Sun","L 17-20","","236","52","4.5385","67","5.9104","1","26:46","3:04"
"4","CHI","2000","2000-09-03","1:00","12:00","@","MIN","1","1","Sun","L 27-30","","425","68","6.2500","54","6.9259","1","32:34","3:08"
"5","CLE","2000","2000-09-03","1:02","1:02","","JAX","1","1","Sun","L 7-27","","249","44","5.6591","78","5.1026","1","22:57","3:46"
"6","IND","2000","2000-09-03","1:00","12:00","@","KAN","1","1","Sun","W 27-14","","386","65","5.9385","62","4.5161","2","33:13","2:58"
"7","ARI","2000","2000-09-03","1:04","1:04","@","NYG","1","1","Sun","L 16-21","","355","70","5.0714","66","5.9848","4","28:30","3:40"
"8","DAL","2000","2000-09-03","4:05","3:05","","PHI","1","1","Sun","L 14-41","","167","49","3.4082","76","5.5921","2","20:30","3:10"
"9","DET","2000","2000-09-03","1:03","12:03","@","NOR","1","1","Sun","W 14-10","","187","59","3.1695","64","3.9375","2","30:49","3:12"
"10","GNB","2000","2000-09-03","4:20","3:20","","NYJ","1","1","Sun","L 16-20","","211","51","4.1373","78","4.8590","2","22:10","3:15"
"11","JAX","2000","2000-09-03","1:02","1:02","@","CLE","1","1","Sun","W 27-7","","398","78","5.1026","44","5.6591","","37:03","3:46"
"12","KAN","2000","2000-09-03","1:00","12:00","","IND","1","1","Sun","L 14-27","","280","62","4.5161","65","5.9385","1","26:47","2:58"
"13","MIA","2000","2000-09-03","4:16","4:16","","SEA","1","1","Sun","W 23-0","","308","67","4.5970","47","3.0426","1","38:20","2:44"
"14","MIN","2000","2000-09-03","1:00","12:00","","CHI","1","1","Sun","W 30-27","","374","54","6.9259","68","6.2500","1","27:26","3:08"
"15","NOR","2000","2000-09-03","1:03","12:03","","DET","1","1","Sun","L 10-14","","252","64","3.9375","59","3.1695","3","29:11","3:12"
"16","NWE","2000","2000-09-03","1:02","1:02","","TAM","1","1","Sun","L 16-21","","278","66","4.2121","63","4.6984","1","28:25","3:03"
"17","NYG","2000","2000-09-03","1:04","1:04","","ARI","1","1","Sun","W 21-16","","395","66","5.9848","70","5.0714","2","31:30","3:40"
"18","NYJ","2000","2000-09-03","4:20","3:20","@","GNB","1","1","Sun","W 20-16","","379","78","4.8590","51","4.1373","1","37:50","3:15"
"19","TEN","2000","2000-09-03","8:35","8:35","@","BUF","1","1","Sun","L 13-16","","172","55","3.1273","66","4.0303","1","26:49","3:15"
"20","PHI","2000","2000-09-03","4:05","3:05","@","DAL","1","1","Sun","W 41-14","","425","76","5.5921","49","3.4082","3","39:30","3:10"
"21","PIT","2000","2000-09-03","1:02","1:02","","BAL","1","1","Sun","L 0-16","","223","58","3.8448","69","4.8696","1","24:53","2:58"
"22","OAK","2000","2000-09-03","4:15","1:15","","SDG","1","1","Sun","W 9-6","","233","64","3.6406","72","3.5417","","31:30","3:04"
"23","BAL","2000","2000-09-03","1:02","1:02","@","PIT","1","1","Sun","W 16-0","","336","69","4.8696","58","3.8448","","35:07","2:58"
"24","SDG","2000","2000-09-03","4:15","1:15","@","OAK","1","1","Sun","L 6-9","","255","72","3.5417","64","3.6406","4","28:30","3:04"
"25","SEA","2000","2000-09-03","4:16","4:16","@","MIA","1","1","Sun","L 0-23","","143","47","3.0426","67","4.5970","6","21:40","2:44"
"26","SFO","2000","2000-09-03","1:02","1:02","@","ATL","1","1","Sun","L 28-36","","339","61","5.5574","63","5.6984","1","28:21","3:13"
"27","TAM","2000","2000-09-03","1:02","1:02","@","NWE","1","1","Sun","W 21-16","","296","63","4.6984","66","4.2121","1","31:35","3:03"
"28","WAS","2000","2000-09-03","1:01","1:01","","CAR","1","1","Sun","W 20-17","","396","67","5.9104","52","4.5385","","33:14","3:04"
"29","DEN","2000","2000-09-04","9:07","8:07","@","STL","1","1","Mon","L 36-41","","424","61","6.9508","55","9.3273","","32:13","3:00"
